rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,time/fps,time/time_elapsed,time/iterations,train/approx_kl,train/entropy_loss,train/policy_gradient_loss,train/value_loss,train/n_updates,train/clip_range,train/loss,train/learning_rate,train/explained_variance,train/clip_fraction,eval/mean_reward,eval/mean_ep_length
415.18,129024,17.918599999999998,206,624,63,0.018810324,-1.5465578086674214,-0.017884562475956045,2.2792179227806626,620,0.2,0.1357581913471222,0.0003,0.13510233163833618,0.1859375,,
,130000,,,,,0.01872829,-1.4879946425557136,-0.01566975018649828,2.524775452259928,630,0.2,0.36321592330932617,0.0003,0.13732099533081055,0.18125,-1.72,229.6
412.93,131072,17.7964,205,636,64,,,,,,,,,,,,
414.44,133120,17.711599999999997,205,646,65,0.017200893,-1.5006777737289667,-0.018607398080348503,2.576402879413217,640,0.2,0.3244345784187317,0.0003,0.21844452619552612,0.164013671875,,
422.93,135168,18.395900000000005,206,655,66,0.022025011,-1.4583929799497128,-0.01764844165300019,2.43167484998703,650,0.2,0.32420697808265686,0.0003,0.21518748998641968,0.18701171875,,
438.43,137216,19.849800000000002,206,664,67,0.025599722,-1.4426266971975565,-0.017227538402948994,1.8211125052999706,660,0.2,0.14972373843193054,0.0003,0.24734610319137573,0.20439453125,,
439.36,139264,19.8591,206,674,68,0.017406894,-1.3989109523594379,-0.01656971383781638,1.8993661182932555,670,0.2,0.4883232116699219,0.0003,0.38667696714401245,0.192578125,,
,140000,,,,,0.02141301,-1.4671842377632855,-0.018346319072588813,1.5830793319270016,680,0.2,0.13907790184020996,0.0003,0.3295742869377136,0.205029296875,7.416000000000001,344.0
451.15,141312,20.976,204,691,69,,,,,,,,,,,,
457.0,143360,21.434099999999997,204,702,70,0.018758418,-1.4858922369778156,-0.022940918479434913,2.370595666207373,690,0.2,0.3864881694316864,0.0003,0.19960719347000122,0.203857421875,,
457.81,145408,21.442400000000003,204,711,71,0.020697992,-1.3474531508982182,-0.015430865265079774,1.5226458891760557,700,0.2,0.2079707831144333,0.0003,0.3857393264770508,0.192529296875,,
458.03,147456,20.9447,204,720,72,0.021276737,-1.391211098432541,-0.02040153164853109,2.476555831125006,710,0.2,0.25852030515670776,0.0003,0.29325050115585327,0.210400390625,,
464.32,149504,22.006800000000002,204,730,73,0.021055263,-1.2770333673804999,-0.018817646356183104,1.8299844746012242,720,0.2,0.08302316069602966,0.0003,0.29330092668533325,0.192578125,,
,150000,,,,,0.017333575,-1.3622443076223134,-0.016425275258370675,1.8781874623149633,730,0.2,0.7359399795532227,0.0003,0.19091540575027466,0.190869140625,20.038,407.4
468.38,151552,22.047600000000003,202,748,74,,,,,,,,,,,,
454.73,153600,20.4126,202,758,75,0.02105023,-1.2739822972565888,-0.013308923851582222,1.4835178603883832,740,0.2,0.06676249206066132,0.0003,0.3753262758255005,0.181201171875,,
456.49,155648,20.3303,202,767,76,0.019766126,-1.3222865842282772,-0.017885624861810355,2.9175680854357777,750,0.2,0.15166206657886505,0.0003,0.1864522099494934,0.17041015625,,
467.93,157696,21.743399999999998,202,777,77,0.020391881,-1.2888250190764665,-0.020042225738870913,2.98404534207657,760,0.2,0.7566380500793457,0.0003,-0.04636383056640625,0.173681640625,,
476.93,159744,22.832400000000007,202,787,78,0.020935109,-1.3456796310842036,-0.02163015516998712,1.533171377889812,770,0.2,0.14925134181976318,0.0003,0.33188825845718384,0.219970703125,,
,160000,,,,,0.022843871,-1.270372810214758,-0.01785243355552666,1.5478560905903578,780,0.2,0.16180507838726044,0.0003,0.5110462307929993,0.19365234375,20.124,416.0
472.2,161792,22.884999999999994,200,805,79,,,,,,,,,,,,
458.79,163840,21.1523,201,813,80,0.018806983,-1.2741934914141892,-0.01624546218663454,2.898407233413309,790,0.2,0.49304065108299255,0.0003,0.13786548376083374,0.17294921875,,
462.47,165888,20.9893,201,823,81,0.021285959,-1.2962371688336134,-0.01783055062260246,2.9195642985403536,800,0.2,0.30823150277137756,0.0003,-0.32923245429992676,0.1619140625,,
467.51,167936,21.4393,201,833,82,0.017004246,-1.236265167593956,-0.015485213784268126,2.5705982794053854,810,0.2,0.45826151967048645,0.0003,0.08747762441635132,0.163720703125,,
457.43,169984,20.838999999999995,201,842,83,0.018132055,-1.221465702727437,-0.015383458664291538,3.0019231110811235,820,0.2,0.4144981801509857,0.0003,-0.22353553771972656,0.178515625,,
,170000,,,,,0.025219742,-1.1913169126957655,-0.016121924365870656,2.5464568549767135,830,0.2,0.18193161487579346,0.0003,0.0806702971458435,0.178564453125,17.845999999999997,388.0
452.27,172032,20.188000000000002,200,858,84,,,,,,,,,,,,
461.77,174080,21.281999999999996,200,868,85,0.021613156,-1.2351311139762402,-0.015031182701932266,2.3749617781490087,840,0.2,0.31712064146995544,0.0003,-0.12505316734313965,0.16796875,,
450.39,176128,20.368799999999997,200,877,86,0.022704752,-1.160285092703998,-0.016198142629582434,2.4256413120776417,850,0.2,1.4712401628494263,0.0003,0.2866610884666443,0.18212890625,,
443.71,178176,19.303,200,887,87,0.02228906,-1.1715090464800597,-0.014612865120579955,3.6453503316268323,860,0.2,0.39199918508529663,0.0003,0.006744444370269775,0.149951171875,,
,180000,,,,,0.020462986,-1.2001694232225417,-0.008107356636901385,2.0790096398442985,870,0.2,0.41427329182624817,0.0003,-0.1050107479095459,0.16943359375,16.07,410.2
423.6,180224,17.8032,199,904,88,,,,,,,,,,,,
422.98,182272,17.5972,199,913,89,0.022573877,-1.1329947356134653,-0.016574764423421585,1.8638935095630587,880,0.2,0.27473878860473633,0.0003,0.4451279640197754,0.18603515625,,
406.52,184320,15.8342,199,923,90,0.019915622,-1.1898745033890008,-0.016649045792291872,1.5576367071829735,890,0.2,0.06503798812627792,0.0003,0.2323894500732422,0.1837890625,,
414.16,186368,17.1094,199,934,91,0.023536682,-1.271242817863822,-0.018144501335336828,1.2463282280601562,900,0.2,0.13200101256370544,0.0003,0.2535232901573181,0.218017578125,,
431.17,188416,18.8779,199,944,92,0.021035828,-1.1865047704428435,-0.018366069279727525,2.1782419845461845,910,0.2,0.5890483856201172,0.0003,0.36918193101882935,0.190771484375,,
,190000,,,,,0.021816105,-1.209239599853754,-0.015814308961853384,1.549612254463136,920,0.2,0.1588631570339203,0.0003,0.41114139556884766,0.1958984375,27.514,355.4
436.64,190464,20.031699999999997,197,962,93,,,,,,,,,,,,
442.87,192512,19.993900000000004,198,972,94,0.016395183,-1.128358993306756,-0.013740894282818772,2.1190750500652937,930,0.2,0.34086114168167114,0.0003,0.2810189127922058,0.16044921875,,
442.22,194560,19.8875,198,982,95,0.022888359,-1.1552647344768048,-0.011880456050857902,1.5588925887830556,940,0.2,0.09438003599643707,0.0003,-0.004768252372741699,0.187548828125,,
446.76,196608,19.7329,198,992,96,0.01752363,-1.2165670197457075,-0.01691842225845903,1.8864933801814914,950,0.2,1.0787782669067383,0.0003,-0.05504047870635986,0.181201171875,,
443.31,198656,19.099000000000004,198,1001,97,0.019467486,-1.1195687409490347,-0.017627513589104638,1.5588636573869734,960,0.2,0.11126646399497986,0.0003,0.2821654677391052,0.18798828125,,
,200000,,,,,0.016717466,-1.1515215158462524,-0.01590113841521088,2.6967698876746,970,0.2,0.6935467720031738,0.0003,-0.12272369861602783,0.178466796875,42.040000000000006,609.2
448.43,200704,19.349999999999998,196,1023,98,,,,,,,,,,,,
447.08,202752,20.035999999999998,196,1033,99,0.019855725,-1.0886313108727337,-0.017790274578146636,1.9841021314729006,980,0.2,0.23208856582641602,0.0003,0.19278734922409058,0.197998046875,,
444.82,204800,20.1133,196,1042,100,0.017165821,-1.1007060607895256,-0.013157052660244518,1.7406450666952877,990,0.2,0.1666870266199112,0.0003,0.5604078769683838,0.164013671875,,
446.52,206848,20.130300000000002,196,1051,101,0.018916473,-1.0641458205878735,-0.01564750913530588,2.5949848264455797,1000,0.2,0.4390106499195099,0.0003,0.10058426856994629,0.157568359375,,
432.28,208896,19.5885,196,1061,102,0.019688148,-1.078196184337139,-0.020516111090546473,2.5379634733777494,1010,0.2,0.19292201101779938,0.0003,0.009391069412231445,0.17548828125,,
,210000,,,,,0.020281134,-1.2047400932759047,-0.012772819882957264,3.275299076922238,1020,0.2,0.5941928029060364,0.0003,0.017032265663146973,0.1724609375,40.188,624.2
431.89,210944,19.5846,194,1083,103,,,,,,,,,,,,
445.31,212992,20.8177,194,1093,104,0.022210212,-1.1964355867356062,-0.01677659182314528,2.1063041673507543,1030,0.2,0.2716382145881653,0.0003,0.12808597087860107,0.201025390625,,
450.88,215040,20.8734,194,1103,105,0.020892302,-1.130260576121509,-0.016095273998507763,2.1444711892399937,1040,0.2,0.15530267357826233,0.0003,0.0591091513633728,0.19140625,,
446.5,217088,21.029399999999995,195,1112,106,0.018624753,-1.069428662955761,-0.018030938450829127,2.4916189923882484,1050,0.2,0.2052127718925476,0.0003,0.018116772174835205,0.15458984375,,
444.06,219136,20.6054,195,1121,107,0.015727626,-1.1347124066203833,-0.015400579050765372,3.009147269371897,1060,0.2,0.32809334993362427,0.0003,0.1451461911201477,0.151611328125,,
,220000,,,,,0.019298758,-1.1878132931888103,-0.017063823743956163,2.2491654467303306,1070,0.2,0.6112716794013977,0.0003,0.268842875957489,0.20107421875,26.390000000000004,443.2
452.11,221184,21.1854,194,1139,108,,,,,,,,,,,,
464.26,223232,22.1061,194,1149,109,0.023121964,-1.1615974504500628,-0.014708016173972282,1.5757608384359627,1080,0.2,0.11372748762369156,0.0003,0.5239143371582031,0.203466796875,,
479.83,225280,23.9601,194,1160,110,0.019876245,-1.123499459028244,-0.015122701044310816,1.9814832726493479,1090,0.2,0.14172378182411194,0.0003,0.24282318353652954,0.181494140625,,
481.52,227328,24.676299999999998,194,1169,111,0.022337468,-1.1054207431152463,-0.014266259581199847,1.0963764161337166,1100,0.2,0.07385767996311188,0.0003,0.5845266580581665,0.196240234375,,
481.72,229376,24.478500000000004,194,1178,112,0.019187443,-1.1180171241983772,-0.019677878126094582,2.390556399244815,1110,0.2,0.1843411773443222,0.0003,0.1461835503578186,0.18125,,
,230000,,,,,0.025133964,-1.0452869517728687,-0.020967102372378577,1.6106765632517637,1120,0.2,0.07829011231660843,0.0003,0.3744868040084839,0.19326171875,7.272,329.6
483.23,231424,24.8932,193,1194,113,,,,,,,,,,,,
488.59,233472,25.746199999999995,193,1203,114,0.020399917,-1.1229021677747368,-0.019551971065811812,1.8052975712809711,1130,0.2,0.6639871001243591,0.0003,0.3845323920249939,0.190869140625,,
468.92,235520,23.7513,194,1212,115,0.018606495,-1.141742473654449,-0.019408078689593822,2.66871066596359,1140,0.2,0.18712855875492096,0.0003,0.11387598514556885,0.160302734375,,
469.68,237568,23.758700000000005,194,1221,116,0.017062504,-1.1549296092242003,-0.014925049561134074,2.6669162418693304,1150,0.2,0.3093758821487427,0.0003,0.11437678337097168,0.169677734375,,
470.18,239616,24.3631,194,1230,117,0.01856022,-1.1624483466148376,-0.023556005937280133,2.0970384487416593,1160,0.2,0.20224502682685852,0.0003,0.4203376770019531,0.182373046875,,
,240000,,,,,0.019314712,-1.1190573673695325,-0.01498304822598584,1.9434761362150312,1170,0.2,0.12090639024972916,0.0003,0.3182007074356079,0.174951171875,25.073999999999998,511.4
439.99,241664,21.963299999999993,193,1248,118,,,,,,,,,,,,
435.82,243712,21.921599999999998,193,1257,119,0.02192023,-1.2042309705168008,-0.020476055511971937,2.1423673775047063,1180,0.2,0.3076332211494446,0.0003,0.2430211305618286,0.2060546875,,
426.49,245760,20.229699999999998,193,1268,120,0.02230005,-1.1157013092190027,-0.020432044938206672,2.284009274840355,1190,0.2,0.22394812107086182,0.0003,0.30253368616104126,0.174658203125,,
