time/time_elapsed,time/total_timesteps,time/iterations,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,train/value_loss,train/clip_range,train/explained_variance,train/n_updates,train/policy_gradient_loss,train/loss,train/clip_fraction,train/entropy_loss,train/learning_rate,train/approx_kl,eval/mean_reward,eval/mean_ep_length
399,100352,49,5.535,251,305.57,,,,,,,,,,,,
406,102400,50,5.870999999999999,251,309.2,3.380350618623197,0.2,0.18577104806900024,490,-0.012371731146413368,1.2444522380828857,0.15048828125,-1.3913476932793856,0.0003,0.019132169,,
414,104448,51,6.3069999999999995,252,312.84,2.303393941372633,0.2,0.3948395848274231,500,-0.008046443533385173,0.6385806798934937,0.12568359375,-1.4620625745505094,0.0003,0.011365587,,
422,106496,52,6.5383000000000004,251,315.99,2.026090065762401,0.2,0.40784430503845215,510,-0.01084812801273074,1.0725666284561157,0.1689453125,-1.5872644029557705,0.0003,0.01731402,,
432,108544,53,7.132500000000001,251,325.46,1.9766072759870439,0.2,0.11381524801254272,520,-0.014425834226130974,0.17338809370994568,0.2466796875,-1.733514055237174,0.0003,0.038604006,,
,110000,,,,,1.2727387237828225,0.2,0.7582655549049377,530,-0.013112909242045135,0.21891504526138306,0.209912109375,-1.3294715456664563,0.0003,0.023159148,9.152,317.4
446,110592,54,7.171199999999999,247,329.31,,,,,,,,,,,,
454,112640,55,6.874099999999999,247,329.59,1.2612887740135192,0.2,0.5241479873657227,540,-0.013381213482352905,0.20454253256320953,0.205078125,-1.3715085197240113,0.0003,0.025679804,,
463,114688,56,7.1251999999999995,247,334.72,3.6891384652815757,0.2,0.13578051328659058,550,-0.008736337482696399,1.8389346599578857,0.17470703125,-1.6479478180408478,0.0003,0.01708909,,
471,116736,57,7.1415999999999995,247,336.36,1.487412550812587,0.2,0.6147128343582153,560,-0.010477240417094436,0.12873804569244385,0.168701171875,-1.3994312617927789,0.0003,0.013058657,,
479,118784,58,7.0569,247,337.9,2.084836054034531,0.2,0.3301296830177307,570,-0.00991126935405191,0.21014893054962158,0.187255859375,-1.4610560651868583,0.0003,0.02174986,,
,120000,,,,,1.6904133712872862,0.2,0.26544976234436035,580,-0.013738556246971711,0.4723348617553711,0.190234375,-1.6008179415017367,0.0003,0.024958797,-5.736,227.6
490,120832,59,7.564500000000002,246,338.69,,,,,,,,,,,,
497,122880,60,7.9491000000000005,246,347.2,2.7611414972692727,0.2,0.1675788164138794,590,-0.01553707194107119,0.7904847860336304,0.181201171875,-1.5145422611385584,0.0003,0.020326268,,
505,124928,61,8.0223,246,344.51,1.7561277926899492,0.2,0.27196282148361206,600,-0.011429560216492973,0.4062366783618927,0.151611328125,-1.5502550706267357,0.0003,0.020460892,,
512,126976,62,7.481100000000001,247,340.34,1.585293654492125,0.2,0.3671340346336365,610,-0.008355921992915682,1.0769851207733154,0.168408203125,-1.5961812321096658,0.0003,0.015002731,,
