time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,time/fps,rollout/ep_len_mean,time/iterations,train/clip_fraction,train/approx_kl,train/policy_gradient_loss,train/entropy_loss,train/loss,train/learning_rate,train/explained_variance,train/clip_range,train/value_loss,train/n_updates,eval/mean_reward,eval/mean_ep_length
227328,549.9374,390,582,1612.81,111,0.06279296875,0.013524704,-0.0012428199494024738,-0.19719555689953266,15.53099536895752,0.0003,0.43157893419265747,0.2,23.553602489829064,1100,,
229376,551.5778,392,583,1611.89,112,0.04541015625,0.008468825,0.00041051257721846923,-0.19218092977534978,9.724075317382812,0.0003,0.4133756756782532,0.2,18.786316949129105,1110,,
230000,,,,,,0.0591796875,0.0052702907,-0.0009882117912638933,-0.2098198949592188,11.5780029296875,0.0003,0.49525749683380127,0.2,17.8486247330904,1120,545.528,1356.6
231424,552.4734,399,579,1604.45,113,,,,,,,,,,,,
233472,551.8162,401,580,1598.94,114,0.069287109375,0.0086101815,-0.002018892884370871,-0.26353964759036896,11.500885963439941,0.0003,0.3923444151878357,0.2,24.869478215277194,1130,,
235520,549.0758000000001,404,582,1587.78,115,0.062353515625,0.014608679,-0.008096173481317238,-0.22740705092437566,5.690320014953613,0.0003,0.4680638909339905,0.2,17.036943769454957,1140,,
237568,548.146,407,583,1577.3,116,0.0470703125,0.006220605,-0.002722303968039341,-0.20411090909037738,11.824472427368164,0.0003,0.418540894985199,0.2,17.83228458613157,1150,,
239616,546.7593999999999,410,584,1564.93,117,0.044677734375,0.010232619,-0.0008786146048805676,-0.20742932320572435,9.809518814086914,0.0003,0.5688858032226562,0.2,19.532870855927467,1160,,
240000,,,,,,0.05078125,0.005937781,-0.00019146138220094144,-0.20869001459795983,9.676966667175293,0.0003,0.5331383943557739,0.2,18.00703520923853,1170,498.38599999999997,1224.8
241664,548.6705999999999,416,580,1568.48,118,,,,,,,,,,,,
243712,547.7132999999999,419,581,1552.64,119,0.02978515625,0.0025697523,-0.0005198176047997549,-0.199612897913903,9.599802017211914,0.0003,0.47185957431793213,0.2,21.35960173904896,1180,,
245760,552.5344,421,582,1563.31,120,0.031982421875,0.007596018,-0.0008759447024203837,-0.20937230032868684,13.00289249420166,0.0003,0.4075723886489868,0.2,30.257215756177903,1190,,
247808,549.8903999999999,424,583,1539.55,121,0.02861328125,0.0046375096,-0.002198556312941946,-0.18725493201054633,14.707756042480469,0.0003,0.5748869180679321,0.2,24.359255328774452,1200,,
249856,555.5379999999998,427,584,1545.87,122,0.04462890625,0.0070113605,-0.0010779879346955567,-0.18108196093235165,10.844902992248535,0.0003,0.5205244421958923,0.2,21.554414409399033,1210,,
250000,,,,,,0.04326171875,0.0072732395,-0.003348121607268695,-0.17343318634666502,27.69880485534668,0.0003,0.45399361848831177,0.2,31.50969376862049,1220,586.624,1437.4
251904,544.6937999999999,434,580,1504.35,123,,,,,,,,,,,,
253952,544.6947999999999,436,581,1503.25,124,0.03203125,0.004507777,-0.0023160372715210543,-0.16229894233401865,23.145559310913086,0.0003,0.4612845778465271,0.2,37.88209589421749,1230,,
256000,544.4223,439,582,1499.61,125,0.041064453125,0.0055259885,-0.00193641661608126,-0.18391168436501176,16.10209083557129,0.0003,0.4977574944496155,0.2,18.740884833037853,1240,,
258048,542.9809999999999,442,583,1490.73,126,0.03818359375,0.00731955,-0.000294911973469425,-0.16436867020092905,7.43525505065918,0.0003,0.4822106957435608,0.2,18.100418895483017,1250,,
