rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,time/fps,time/iterations,rollout/ep_len_mean,train/value_loss,train/policy_gradient_loss,train/loss,train/clip_range,train/n_updates,train/learning_rate,train/explained_variance,train/clip_fraction,train/entropy_loss,train/approx_kl,eval/mean_ep_length,eval/mean_reward
166.1002,1142784,2012,567,558,659.88,33.777403977513316,-0.008350398103357293,15.407087326049805,0.2,5570,0.0003,0.3254236578941345,0.077587890625,-0.7149143097922206,0.0075975657,,
169.91119999999998,1144832,2015,568,559,674.74,44.55142394900322,-0.007554071772028692,24.78260612487793,0.2,5580,0.0003,0.2574536204338074,0.05107421875,-0.7292395560070872,0.0068677207,,
165.084,1146880,2018,568,560,650.57,23.22094634473324,-0.006908992596436292,10.136358261108398,0.2,5590,0.0003,0.33820265531539917,0.077587890625,-0.6877139691263437,0.0069917454,,
167.7654,1148928,2021,568,561,661.79,37.103505718708035,-0.00784749561571516,22.33736228942871,0.2,5600,0.0003,0.29686498641967773,0.079931640625,-0.7047613242641091,0.008046593,,
,1150000,,,,,19.846669140458108,-0.0069127645110711455,9.153736114501953,0.2,5610,0.0003,0.32404494285583496,0.06376953125,-0.6733047069981695,0.0064328266,1738.8,245.82399999999998
169.72480000000004,1150976,2029,567,562,664.02,,,,,,,,,,,,
169.14820000000003,1153024,2032,567,563,662.79,33.21008249819279,-0.006308282530517318,8.41620922088623,0.2,5620,0.0003,0.2766699194908142,0.052392578125,-0.6896675890311599,0.0073186047,,
176.6058,1155072,2035,567,564,690.71,22.575353759527207,-0.00458457904169336,12.835176467895508,0.2,5630,0.0003,0.21453756093978882,0.06513671875,-0.6982025116682052,0.0074717975,,
176.82599999999994,1157120,2038,567,565,689.72,22.968083480000494,-0.010291716278879903,18.036298751831055,0.2,5640,0.0003,0.32026249170303345,0.1107421875,-0.6478946348652244,0.0077293334,,
173.05259999999998,1159168,2041,567,566,667.97,28.862009507417678,-0.005681395980354864,10.955843925476074,0.2,5650,0.0003,0.2997956871986389,0.060595703125,-0.6331773912534118,0.007254798,,
,1160000,,,,,32.25969784259796,-0.005297351285116747,13.58025074005127,0.2,5660,0.0003,0.29550206661224365,0.08046875,-0.6174786407500505,0.0066668736,1607.8,438.82399999999996
176.34619999999998,1161216,2049,566,567,678.64,,,,,,,,,,,,
182.0406,1163264,2052,566,568,689.51,21.176838517189026,-0.00476954419282265,15.109143257141113,0.2,5670,0.0003,0.26489561796188354,0.059228515625,-0.6938270125538111,0.0057445113,,
169.43439999999995,1165312,2054,567,569,638.46,16.310390020906926,-0.006521181191783398,7.54140043258667,0.2,5680,0.0003,0.42581063508987427,0.08291015625,-0.6501769300550222,0.008649247,,
170.172,1167360,2057,567,570,641.66,49.38649488091469,-0.005948869118583389,19.741378784179688,0.2,5690,0.0003,0.18013793230056763,0.039599609375,-0.6394591991789639,0.003435565,,
169.15380000000002,1169408,2060,567,571,637.46,29.134149062633515,-0.0033802881836891173,18.018068313598633,0.2,5700,0.0003,0.25995761156082153,0.05361328125,-0.6254806031472981,0.004334758,,
,1170000,,,,,21.572476829588414,-0.007740517469937913,8.633975982666016,0.2,5710,0.0003,0.3384166359901428,0.0986328125,-0.6539065707474947,0.009461557,1883.8,363.164
174.4776,1171456,2069,566,572,651.83,,,,,,,,,,,,
177.87419999999997,1173504,2071,566,573,662.36,26.685280564427377,-0.009560945359407925,18.38347053527832,0.2,5720,0.0003,0.264861524105072,0.070458984375,-0.6231723066419363,0.008133643,,
180.4832,1175552,2074,566,574,667.18,22.189481362700462,-0.005542825430165976,11.755914688110352,0.2,5730,0.0003,0.31331056356430054,0.039892578125,-0.6474929349496961,0.0053085033,,
174.07120000000003,1177600,2077,566,575,642.09,26.405718150734902,-0.003827904116769787,15.546935081481934,0.2,5740,0.0003,0.3097761273384094,0.04990234375,-0.5867758782580494,0.0066173924,,
172.6,1179648,2080,566,576,635.49,18.88527828156948,-0.003899785433895886,8.870407104492188,0.2,5750,0.0003,0.34974175691604614,0.054443359375,-0.6046566406264902,0.006340516,,
,1180000,,,,,33.09535972476006,-0.006051863374887034,15.345398902893066,0.2,5760,0.0003,0.2745208740234375,0.045849609375,-0.5971316082403064,0.0036895939,1127.4,456.44800000000004
166.3868,1181696,2087,566,577,610.48,,,,,,,,,,,,
162.8008,1183744,2090,566,578,599.4,25.571553739905358,-0.005189683896605857,8.428671836853027,0.2,5770,0.0003,0.2579411268234253,0.05107421875,-0.6304745488800109,0.0066303057,,
161.11159999999998,1185792,2093,566,579,588.67,32.64797787964344,-0.006040371814742684,19.813953399658203,0.2,5780,0.0003,0.28246527910232544,0.05498046875,-0.6801432350650429,0.005361138,,
163.7924,1187840,2095,566,580,594.91,29.28276768922806,-0.005678245714807417,43.117225646972656,0.2,5790,0.0003,0.2777004837989807,0.071337890625,-0.5719422868452966,0.005741422,,
168.35599999999994,1189888,2098,566,581,602.2,24.564874455332756,-0.0025527410020004027,9.495970726013184,0.2,5800,0.0003,0.40911865234375,0.06025390625,-0.6059258934110403,0.005796861,,
,1190000,,,,,28.972067058086395,-0.006250170557177625,10.540993690490723,0.2,5810,0.0003,0.31285256147384644,0.067626953125,-0.5930556353181601,0.0091671385,1672.2,353.36800000000005
167.91699999999997,1191936,2106,565,582,599.1,,,,,,,,,,,,
167.91699999999997,1193984,2109,565,583,599.1,29.08051079213619,-0.007001767079054843,22.53034019470215,0.2,5820,0.0003,0.1762099266052246,0.074658203125,-0.688719042763114,0.007620348,,
176.5228,1196032,2112,566,584,634.74,12.256155210733414,-0.0023900450236396865,5.482413291931152,0.2,5830,0.0003,0.3941672444343567,0.084375,-0.6536374161019921,0.009452619,,
177.44780000000006,1198080,2115,566,585,638.59,26.549535754323006,-0.006067119921499398,18.76371955871582,0.2,5840,0.0003,0.23570126295089722,0.1064453125,-0.619877926632762,0.010812525,,
,1200000,,,,,31.981229656934737,-0.005208237079204992,15.5811767578125,0.2,5850,0.0003,0.28387027978897095,0.0625,-0.6262332296930253,0.008942962,1363.4,543.912
173.69100000000003,1200128,2122,565,586,621.02,,,,,,,,,,,,
172.00059999999996,1202176,2125,565,587,615.36,33.2948093265295,-0.005962967019877396,11.565970420837402,0.2,5860,0.0003,0.26508432626724243,0.083203125,-0.6303012579679489,0.0075872354,,
174.218,1204224,2128,565,588,624.73,39.38906824290753,-0.00894993322144728,28.983413696289062,0.2,5870,0.0003,0.25955426692962646,0.069775390625,-0.6607264121994376,0.00632624,,
