time/total_timesteps,time/time_elapsed,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,train/n_updates,train/clip_fraction,train/explained_variance,train/entropy_loss,train/value_loss,train/clip_range,train/learning_rate,train/loss,train/policy_gradient_loss,train/approx_kl,eval/mean_reward,eval/mean_ep_length
624640,891,700,-15.858999999999998,59.59,305,3040,0.02255859375,-0.9083614349365234,-0.29610530007630587,3.7145134412774894e-07,0.2,0.0003,-0.000274167163297534,0.00034523254435043783,0.004427456,,
626688,894,700,-15.91,60.1,306,3050,0.03955078125,-4.0913777351379395,-0.29876366085372863,3.295268366176884e-07,0.2,0.0003,-0.004510947037488222,-0.0006327002309262752,0.003251749,,
628736,897,700,-15.931,60.31,307,3060,0.02646484375,-12.914263725280762,-0.3015468661207706,5.193705597239529e-06,0.2,0.0003,0.0003909979423042387,-0.001263343545724638,0.0024293286,,
630000,,,,,,3070,0.072607421875,-6.45181131362915,-0.30760461748577655,1.2106375857356965e-08,0.2,0.0003,-0.0015886460896581411,0.0007455196813680231,0.0084716715,-16.4,65.0
630784,900,700,-15.889999999999997,59.9,308,,,,,,,,,,,,
632832,903,700,-15.868999999999998,59.69,309,3080,0.0296875,-6.6419806480407715,-0.317271468276158,1.3372330398553345e-08,0.2,0.0003,0.002196062356233597,-0.0003515544012770988,0.0029496644,,
634880,906,700,-15.819,59.19,310,3090,0.025732421875,-12.650976181030273,-0.31448583491146564,8.164243459063413e-09,0.2,0.0003,-0.0006216538022272289,-0.0013719442154979332,0.002425152,,
636928,909,700,-15.902999999999999,60.03,311,3100,0.024267578125,-12.089872360229492,-0.31701162122189996,1.0362758753323931e-07,0.2,0.0003,-0.003230080706998706,0.0003919795504771173,0.0026737466,,
638976,911,700,-15.927000000000003,60.27,312,3110,0.068505859375,-0.3222004175186157,-0.344641276076436,3.47191909533251e-07,0.2,0.0003,0.002706612693145871,-0.0027038314554374667,0.010697972,,
640000,,,,,,3120,0.070263671875,0.5684688687324524,-0.38494369937106965,2.660077113780801e-06,0.2,0.0003,0.02347535267472267,-0.0006867023621452972,0.009632992,-16.520000000000003,66.2
641024,914,700,-15.859000000000002,59.59,313,,,,,,,,,,,,
643072,917,700,-15.797999999999996,58.98,314,3130,0.01005859375,-3.497490882873535,-0.36987872160971164,1.267119436043629e-08,0.2,0.0003,0.00021660735365003347,-0.001021904984372668,0.0015706797,,
645120,920,700,-15.803999999999998,59.04,315,3140,0.0142578125,-2.6217041015625,-0.3790542376227677,8.658030647978876e-08,0.2,0.0003,-0.007662859745323658,-0.0007583283542771824,0.0021000707,,
647168,923,700,-15.89,59.9,316,3150,0.009033203125,-1.2095930576324463,-0.3741872007027268,1.5578397816184975e-06,0.2,0.0003,-0.011686191894114017,-0.0004497210495173931,0.0011553059,,
649216,926,700,-15.923,60.23,317,3160,0.105419921875,-0.47323179244995117,-0.33994972826913,3.838761561958393e-08,0.2,0.0003,0.007349405903369188,-0.0034914691030280666,0.009345784,,
650000,,,,,,3170,0.014111328125,-0.8115760087966919,-0.3242680782452226,1.6629616776953072e-07,0.2,0.0003,0.0034159175120294094,-0.0011749772209441289,0.002018453,-17.339999999999996,74.4
651264,929,700,-15.989,60.89,318,,,,,,,,,,,,
653312,932,700,-16.045,61.45,319,3180,0.006884765625,0.23912984132766724,-0.3225181342102587,1.0010408606042632e-06,0.2,0.0003,-0.007355502340942621,-0.0008798308321274817,0.0015476611,,
655360,935,700,-16.076,61.76,320,3190,0.007861328125,-2.5162558555603027,-0.32229392947629093,1.0274420580991261e-07,0.2,0.0003,-3.752955672098324e-05,0.0003919259266695008,0.0005382437,,
657408,938,700,-16.034,61.34,321,3200,0.02822265625,-1.1589100360870361,-0.33291302938014267,2.4104597002860827e-07,0.2,0.0003,0.00033834826899692416,-8.662306936457753e-05,0.0014458084,,
659456,940,700,-15.951,60.51,322,3210,0.0470703125,-5.508467674255371,-0.33616170110180976,1.869251996122756e-06,0.2,0.0003,-0.005264923442155123,0.0013031234848313034,0.0027576284,,
660000,,,,,,3220,0.091650390625,-7.367387771606445,-0.3312383772805333,4.444867309771894e-08,0.2,0.0003,-0.003883669851347804,-0.0019641581748146564,0.005094261,-16.92,70.2
661504,944,700,-15.905,60.05,323,,,,,,,,,,,,
663552,946,700,-15.897,59.97,324,3230,0.009228515625,-10.493351936340332,-0.3314831770025194,1.0883572587605528e-06,0.2,0.0003,-0.007134175859391689,0.0002810547855915502,0.00047769537,,
665600,949,700,-15.880000000000003,59.8,325,3240,0.02578125,-1.2247991561889648,-0.32237779358401897,2.0819356016943402e-08,0.2,0.0003,-0.010942056775093079,-0.000841765284712892,0.0007752132,,
