rollout/ep_len_mean,time/fps,time/time_elapsed,time/total_timesteps,time/iterations,rollout/ep_rew_mean,train/loss,train/entropy_loss,train/value_loss,train/policy_gradient_loss,train/n_updates,train/explained_variance,train/clip_fraction,train/learning_rate,train/clip_range,train/approx_kl,eval/mean_reward,eval/mean_ep_length
243.53,747,345,258048,126,-5.5,1.0960509777069092,-0.06712883400614374,2.470465594250709,-0.0005087619269033894,1250,0.2796725630760193,0.014453125,0.0003,0.2,0.0026437368,,
,,,260000,,,0.8043256402015686,-0.06706126425997354,2.761105695180595,1.5217295731417834e-05,1260,0.3894636631011963,0.01748046875,0.0003,0.2,0.0033202288,-2.0,251.6
240.19,746,348,260096,127,-5.7,,,,,,,,,,,,
242.99,746,351,262144,128,-5.4,0.7542188763618469,-0.0752903165994212,2.2220548591110854,-0.0003344924829434603,1270,0.463761568069458,0.010595703125,0.0003,0.2,0.0015103335,,
252.58,746,354,264192,129,-4.6,1.3667513132095337,-0.06432446435792372,2.3904561161994935,-0.0007810924900695682,1280,0.48901814222335815,0.01572265625,0.0003,0.2,0.0010543927,,
258.81,746,356,266240,130,-4.1,1.0308171510696411,-0.07052114841644652,3.0860876199789344,0.0008612455945694819,1290,0.4322722554206848,0.00869140625,0.0003,0.2,0.00021283227,,
266.31,746,359,268288,131,-3.5,0.3984517753124237,-0.05577851989073679,3.9178807800635695,-0.0006260090667637996,1300,0.39326465129852295,0.010107421875,0.0003,0.2,0.00063519645,,
,,,270000,,,2.3369247913360596,-0.046153576264623554,4.154640464857221,0.0006686230379273183,1310,0.38240790367126465,0.016796875,0.0003,0.2,0.0009855798,-6.0,170.4
270.26,745,362,270336,132,-3.1,,,,,,,,,,,,
287.45,746,364,272384,133,-1.6,1.852583646774292,-0.057064212567638606,2.691475791996345,-0.0007569203822640702,1320,0.5828238725662231,0.013134765625,0.0003,0.2,0.0005731218,,
286.62,746,367,274432,134,-1.2,0.7625876069068909,-0.060033919269335455,3.8593732522800566,-0.0011617601732723415,1330,0.46287524700164795,0.025537109375,0.0003,0.2,0.008095532,,
