time/time_elapsed,time/fps,rollout/ep_len_mean,time/total_timesteps,time/iterations,rollout/ep_rew_mean,train/learning_rate,train/value_loss,train/clip_range,train/explained_variance,train/loss,train/approx_kl,train/clip_fraction,train/n_updates,train/policy_gradient_loss,train/entropy_loss,eval/mean_ep_length,eval/mean_reward
1303,529,1005.86,690176,337,158.10299999999998,,,,,,,,,,,,
1305,530,975.58,692224,338,152.69899999999998,0.0003,10.295826555043458,0.2,0.40192127227783203,2.343522548675537,0.0006275378,0.00849609375,3370,-0.0018024522883933968,-0.04004510028171353,,
1308,530,970.88,694272,339,151.93200000000002,0.0003,8.246717622503638,0.2,0.359089732170105,4.292490005493164,0.00062328955,0.013623046875,3380,0.0011206489376490935,-0.040731382607191335,,
1311,530,967.46,696320,340,151.293,0.0003,7.15801494345069,0.2,0.42066049575805664,7.430054187774658,0.0018177712,0.020654296875,3390,6.741691322531551e-06,-0.03815523839075467,,
1314,531,967.46,698368,341,151.293,0.0003,6.150647127907723,0.2,0.5414160490036011,4.390424728393555,0.0031198733,0.0240234375,3400,0.0006205514786415733,-0.04586526275088545,,
,,,700000,,,0.0003,0.4184580689296126,0.2,0.8327369093894958,0.08611669391393661,0.0024313093,0.02421875,3410,0.0035964048773166725,-0.045520580064476235,1897.6,324.2
1322,529,1012.39,700416,342,159.548,,,,,,,,,,,,
1324,530,991.8,702464,343,155.806,0.0003,1.9663881392218172,0.2,0.7448791861534119,1.8283265829086304,0.002570501,0.018798828125,3420,0.0012504419384640642,-0.037267811111814805,,
1327,530,968.83,704512,344,151.52899999999997,0.0003,8.287712170183658,0.2,0.27008914947509766,2.7913529872894287,0.005188992,0.02783203125,3430,-0.002519302419386804,-0.04692114886129275,,
1330,530,977.57,706560,345,153.195,0.0003,6.23838145583868,0.2,0.10113245248794556,1.047495722770691,0.0006488992,0.020068359375,3440,-0.0003307668244815432,-0.040187845711807314,,
1333,531,993.81,708608,346,156.20499999999998,0.0003,4.520523218624294,0.2,0.32250410318374634,0.4578918516635895,0.0026109186,0.02099609375,3450,-0.0014503109428915194,-0.04609058219430153,,
,,,710000,,,0.0003,5.634456148557365,0.2,0.37363988161087036,4.88652229309082,0.0016655453,0.01748046875,3460,0.0006136253796285018,-0.03813066126604099,3577.4,632.76
1345,528,1003.3,710656,347,157.946,,,,,,,,,,,,
1348,528,1024.91,712704,348,161.88899999999998,0.0003,3.475859127193689,0.2,0.4747207760810852,0.3135140836238861,0.0020506447,0.0177734375,3470,0.0005236518700257875,-0.044882328949461224,,
