time/fps,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean,train/clip_range,train/loss,train/value_loss,train/learning_rate,train/clip_fraction,train/n_updates,train/approx_kl,train/explained_variance,train/entropy_loss,train/policy_gradient_loss,eval/mean_ep_length,eval/mean_reward
181,982,178176,-1.1613,87,398.39,0.2,0.16861295700073242,1.0974786614067853,0.0003,0.198193359375,860,0.018964894,0.27413541078567505,-1.4109567642211913,-0.010412761068437248,,
,,180000,,,,0.2,0.12474939227104187,1.4243742286693304,0.0003,0.188720703125,870,0.017623581,0.2305331826210022,-1.493461087718606,-0.012271065181994344,279.4,1.2260000000000002
180,997,180224,-1.0371000000000001,88,395.98,,,,,,,,,,,,
180,1008,182272,-1.4987999999999997,89,392.1,0.2,0.19588349759578705,1.2121093403548002,0.0003,0.175634765625,880,0.01743523,0.15562939643859863,-1.3798752896487714,-0.009236330921703484,,
180,1019,184320,-2.2683,90,378.96,0.2,0.061822958290576935,1.229256265843287,0.0003,0.153271484375,890,0.014922384,0.27144891023635864,-1.467041864991188,-0.006433982911403291,,
180,1030,186368,-2.2215000000000003,91,374.26,0.2,0.02576734870672226,1.235737486416474,0.0003,0.168017578125,900,0.016311755,0.15312224626541138,-1.3411106768995524,-0.010524487268412486,,
181,1040,188416,-1.2066999999999997,92,382.89,0.2,0.14116378128528595,0.9413320903666318,0.0003,0.17861328125,910,0.017031085,0.3518511652946472,-1.4173196580260992,-0.014460948522901163,,
,,190000,,,,0.2,0.5774998664855957,2.162038252642378,0.0003,0.169091796875,920,0.01494763,0.6463518738746643,-1.517849101871252,-0.01003797780140303,327.0,-5.252
179,1058,190464,-1.4616,93,378.35,,,,,,,,,,,,
179,1069,192512,-1.2465999999999997,94,386.88,0.2,0.1816316843032837,1.0187037100084126,0.0003,0.21240234375,930,0.020338891,0.4482229948043823,-1.5169457871466876,-0.016757696054992267,,
179,1080,194560,-0.9864999999999998,95,380.89,0.2,0.23027820885181427,1.289600911224261,0.0003,0.217822265625,940,0.018562727,0.31557297706604004,-1.4590069349855184,-0.01218880535743665,,
180,1091,196608,-0.8382999999999998,96,376.06,0.2,0.03289752081036568,1.2171615195227787,0.0003,0.173828125,950,0.017105162,0.41547536849975586,-1.5155988540500402,-0.012911282427376136,,
180,1102,198656,-1.2768000000000004,97,379.89,0.2,0.12900862097740173,0.7622024382231757,0.0003,0.182958984375,960,0.014960211,0.7198547124862671,-1.441213469952345,-0.014124705977155826,,
,,200000,,,,0.2,0.06504438072443008,0.9713369940291159,0.0003,0.23486328125,970,0.02302244,0.4257165789604187,-1.4597828190773725,-0.020427472880692223,305.4,-1.036
179,1119,200704,-1.0197000000000003,98,384.19,,,,,,,,,,,,
179,1129,202752,-1.4297000000000009,99,375.14,0.2,0.3794862926006317,1.201810894580558,0.0003,0.197607421875,980,0.018950157,0.5764036178588867,-1.436615402251482,-0.01638452278566547,,
179,1140,204800,-1.1045000000000003,100,382.66,0.2,0.2169741839170456,1.063974161981605,0.0003,0.1822265625,990,0.01615614,0.5590887069702148,-1.4360819164663554,-0.009057483756623696,,
179,1151,206848,-0.9201,101,384.24,0.2,0.045371852815151215,0.4443755263928324,0.0003,0.221923828125,1000,0.021339944,0.7811299562454224,-1.5139748983085155,-0.01196446302055847,,
179,1161,208896,-0.8517,102,387.41,0.2,0.05376002937555313,1.0530473206890747,0.0003,0.19541015625,1010,0.016313402,0.33900779485702515,-1.5360639199614525,-0.01465027425729204,,
,,210000,,,,0.2,0.16313952207565308,1.1852354212431238,0.0003,0.1857421875,1020,0.017155003,0.35660338401794434,-1.493806302919984,-0.010640887267072685,282.0,-2.7999999999999994
178,1178,210944,-0.6694000000000001,103,389.2,,,,,,,,,,,,
179,1189,212992,-0.23279999999999987,104,385.56,0.2,0.07004068791866302,0.5481172601226717,0.0003,0.198291015625,1030,0.016837697,0.40239065885543823,-1.4241089314222335,-0.010831221516127698,,
178,1202,215040,0.2132,105,391.01,0.2,0.3934420943260193,1.5738049130886793,0.0003,0.14833984375,1040,0.0116535425,0.25305795669555664,-1.2747095432132483,-0.01263121749216225,,
178,1213,217088,-0.03000000000000018,106,385.3,0.2,0.09182734787464142,1.0839268586365507,0.0003,0.172216796875,1050,0.02029265,0.2874123454093933,-1.3850857973098756,-0.012316234152240212,,
179,1223,219136,0.5756,107,384.8,0.2,0.5631001591682434,1.105498979636468,0.0003,0.20107421875,1060,0.017820723,0.472673237323761,-1.3848747968673707,-0.013816512515768408,,
