rollout/ep_rew_mean,time/fps,time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,time/iterations,train/n_updates,train/approx_kl,train/entropy_loss,train/clip_range,train/clip_fraction,train/policy_gradient_loss,train/explained_variance,train/value_loss,train/learning_rate,train/loss,eval/mean_ep_length,eval/mean_reward
166.38300000000004,586,1296384,2208,759.48,633,6320,0.0018441388,-0.1016240235301666,0.2,0.024658203125,-0.0015234663471346721,0.16719019412994385,27.93354645371437,0.0003,9.057219505310059,,
169.74399999999997,587,1298432,2211,773.19,634,6330,0.002746088,-0.09404140861006453,0.2,0.02255859375,-0.00032064409169834106,0.3032873272895813,14.50367743074894,0.0003,6.926764011383057,,
,,1300000,,,,6340,0.002853946,-0.11540550683857873,0.2,0.027880859375,-0.0017012212425470351,0.3910120129585266,20.44332509338856,0.0003,8.214092254638672,1303.4,183.49999999999997
164.90399999999997,586,1300480,2218,767.17,635,,,,,,,,,,,,
167.91299999999998,586,1302528,2221,778.23,636,6350,0.0018846837,-0.11837920376565307,0.2,0.03544921875,-0.0003980143432272598,0.15464049577713013,17.632882642745972,0.0003,10.192346572875977,,
168.28400000000002,586,1304576,2224,796.67,637,6360,0.0031255619,-0.11331956540234386,0.2,0.033837890625,-0.002211500496196095,0.2767079472541809,15.795839701592922,0.0003,9.059560775756836,,
172.15500000000003,586,1306624,2227,823.65,638,6370,0.0022597755,-0.1025303928530775,0.2,0.030615234375,-0.00021031806099927052,0.3207424283027649,20.183152487874032,0.0003,8.586920738220215,,
174.544,586,1308672,2230,831.55,639,6380,0.0033479782,-0.1170598786091432,0.2,0.039453125,-0.0019112582973320968,0.46804696321487427,11.87676849514246,0.0003,5.995851993560791,,
,,1310000,,,,6390,0.0035321394,-0.11615800466388464,0.2,0.0341796875,-0.0011499172280309722,0.306402325630188,17.207523189485073,0.0003,9.209704399108887,1016.0,176.56
176.49,586,1310720,2236,838.02,640,,,,,,,,,,,,
177.729,586,1312768,2239,840.22,641,6400,0.002509737,-0.10100733476574533,0.2,0.027587890625,3.639002388808876e-05,0.14256292581558228,19.789076115190984,0.0003,7.633613109588623,,
182.609,586,1314816,2242,859.02,642,6410,0.0031492591,-0.104247173469048,0.2,0.03671875,-0.0013723891708650627,0.43247276544570923,14.879325622320176,0.0003,10.098633766174316,,
182.609,586,1316864,2245,859.02,643,6420,0.0036674496,-0.0992935721646063,0.2,0.032958984375,-0.002203552072751336,0.413269579410553,12.33989351540804,0.0003,5.948328018188477,,
187.166,586,1318912,2248,876.74,644,6430,0.003606324,-0.1035337962443009,0.2,0.02451171875,-0.0006137902761111036,0.2897968888282776,14.353011080622673,0.0003,6.573771953582764,,
,,1320000,,,,6440,0.005607191,-0.09786178595386445,0.2,0.03203125,-0.002272848020948004,0.39446043968200684,13.314179290831088,0.0003,5.000871181488037,660.4,47.779999999999994
193.963,586,1320960,2253,899.96,645,,,,,,,,,,,,
197.53799999999998,586,1323008,2256,907.05,646,6450,0.0016198362,-0.09876633215462789,0.2,0.019921875,-0.0015320582941058091,0.23047327995300293,20.409870579838753,0.0003,7.456531047821045,,
201.695,586,1325056,2259,921.88,647,6460,0.0029290156,-0.08507177352439613,0.2,0.025439453125,-0.0011634950817096979,0.26313555240631104,22.77044686973095,0.0003,7.33518123626709,,
201.695,586,1327104,2262,921.88,648,6470,0.0026103214,-0.09794460714329034,0.2,0.026904296875,-0.002236597222508863,0.32068872451782227,19.882260102033616,0.0003,10.881896018981934,,
206.745,586,1329152,2265,964.8,649,6480,0.0049531218,-0.11608994994312524,0.2,0.047314453125,0.0005515507742529735,0.03451353311538696,4.758935122378171,0.0003,1.0047799348831177,,
,,1330000,,,,6490,0.002368241,-0.11432814203435555,0.2,0.0291015625,9.663272358011455e-05,0.37978285551071167,11.484965661913156,0.0003,6.479708194732666,1894.0,292.86
204.67800000000003,585,1331200,2273,961.99,650,,,,,,,,,,,,
204.33100000000002,585,1333248,2276,972.73,651,6500,0.004148596,-0.0968893592711538,0.2,0.031591796875,-0.0016927326985751278,0.29231441020965576,28.06875348985195,0.0003,12.142112731933594,,
204.33100000000002,585,1335296,2280,972.73,652,6510,0.004238407,-0.11365684752818198,0.2,0.02568359375,-0.0011203974339878187,0.4133594036102295,13.887790662050246,0.0003,3.8401153087615967,,
204.33100000000002,585,1337344,2283,972.73,653,6520,0.0032700887,-0.11739541820716112,0.2,0.02783203125,0.001268309194711037,0.4247128367424011,16.784265440702438,0.0003,8.171448707580566,,
204.33100000000002,585,1339392,2286,972.73,654,6530,0.022234611,-0.1398465807782486,0.2,0.092578125,-0.0023968900786712766,-2.338758945465088,0.7966193720698357,0.0003,0.1414579302072525,,
,,1340000,,,,6540,0.07734002,-0.1700370971346274,0.2,0.081884765625,-0.0048465631058206785,0.33860546350479126,0.3558439868851565,0.0003,0.025626137852668762,1201.4,95.78
