rollout/ep_len_mean,time/fps,time/time_elapsed,rollout/ep_rew_mean,time/iterations,time/total_timesteps,train/value_loss,train/loss,train/explained_variance,train/approx_kl,train/n_updates,train/learning_rate,train/entropy_loss,train/clip_fraction,train/clip_range,train/policy_gradient_loss,eval/mean_reward,eval/mean_ep_length
186.89,747,517,-10.0,189,387072,0.0002057559272657272,-0.006501602474600077,0.9999665021896362,0.0009192926,1880,0.0003,-0.16212793551385402,0.014013671875,0.2,0.000348826200934127,,
186.89,747,520,-10.0,190,389120,0.0001837268237522949,-0.0013894971925765276,0.9999686479568481,0.0026980801,1890,0.0003,-0.15503581226803362,0.01865234375,0.2,0.00032171259517781435,,
,,,,,390000,0.00017514078064095884,-0.0020174982491880655,0.9999737739562988,0.0019484056,1900,0.0003,-0.14207738970872014,0.015673828125,0.2,0.0006029180003679357,-10.0,187.0
186.89,746,523,-10.0,191,391168,,,,,,,,,,,,
186.89,747,526,-10.0,192,393216,0.00019160146622994035,0.0007705431198701262,0.9999703764915466,0.0007117231,1910,0.0003,-0.15309554303530604,0.015673828125,0.2,0.0003903666845872067,,
187.0,747,528,-10.0,193,395264,0.0001882902388842922,0.004546016920357943,0.9999698400497437,0.001436285,1920,0.0003,-0.1342794213676825,0.015087890625,0.2,0.00016087539261206986,,
187.0,747,531,-10.0,194,397312,0.0001899824839881603,0.0028820419684052467,0.999972403049469,0.002260085,1930,0.0003,-0.12656439705751837,0.012841796875,0.2,-0.0004632891592336819,,
187.0,747,534,-10.0,195,399360,0.00019173244038483972,0.003760334337130189,0.9999732971191406,0.00058606424,1940,0.0003,-0.1424553259043023,0.019970703125,0.2,0.001127930002985522,,
,,,,,400000,0.00017732903947944578,0.0004345922206994146,0.9999735951423645,0.0015079826,1950,0.0003,-0.15730393880512566,0.0208984375,0.2,0.00040986882522702216,-10.0,187.0
187.0,747,537,-10.0,196,401408,,,,,,,,,,,,
187.0,747,539,-10.0,197,403456,0.00022108006829739678,-0.0008048044983297586,0.999969482421875,0.0010371066,1960,0.0003,-0.128634145623073,0.01552734375,0.2,-0.0014632586782681756,,
187.0,747,542,-10.0,198,405504,0.00019231539861266355,-0.003793759271502495,0.9999719262123108,0.003330047,1970,0.0003,-0.1413053235039115,0.02783203125,0.2,0.0013371811117394827,,
187.0,747,545,-10.0,199,407552,0.0001960740552817697,0.005625770892947912,0.9999722242355347,0.0017659377,1980,0.0003,-0.13319135510828345,0.01708984375,0.2,0.000862663215957582,,
187.0,747,547,-10.0,200,409600,0.0001755850594548747,0.031189879402518272,0.9999731183052063,0.0023325766,1990,0.0003,-0.13572426836472004,0.018896484375,0.2,0.0005315372109180316,,
,,,,,410000,0.00014325744252232652,-6.597810715902597e-05,0.9999780058860779,0.00090828014,2000,0.0003,-0.14754287782125175,0.022705078125,0.2,0.0007213219090772327,-10.0,187.0
187.0,746,551,-10.0,201,411648,,,,,,,,,,,,
187.0,746,553,-10.0,202,413696,0.00014835045656127476,0.0004789824306499213,0.9999756813049316,0.00053418026,2010,0.0003,-0.12966876120772214,0.008544921875,0.2,0.0004163712379522622,,
187.0,747,556,-10.0,203,415744,0.00014885775212860607,0.0005593327805399895,0.9999774098396301,0.00061408395,2020,0.0003,-0.1540137822041288,0.013623046875,0.2,-7.953663152875379e-05,,
187.0,747,559,-10.0,204,417792,0.00016661801795976318,-0.005882485769689083,0.9999752044677734,0.0008346131,2030,0.0003,-0.13241849429905414,0.011083984375,0.2,-0.00022759179264539853,,
187.0,747,561,-10.0,205,419840,0.00016965700582431963,-0.0005839057848788798,0.9999769926071167,0.0023956872,2040,0.0003,-0.14372185014653951,0.01923828125,0.2,0.001038897770922631,,
,,,,,420000,0.00014380749091174038,-0.004599147010594606,0.9999784231185913,0.0039803777,2050,0.0003,-0.1385846099583432,0.018115234375,0.2,-0.00013198636152083053,-10.0,187.0
187.0,746,564,-10.0,206,421888,,,,,,,,,,,,
187.0,746,567,-10.0,207,423936,0.0001436889645788142,-0.004337502643465996,0.999977171421051,0.0007237069,2060,0.0003,-0.13911563495639712,0.013720703125,0.2,0.00044164680148242044,,
187.0,747,570,-10.0,208,425984,0.00013844941749994178,-0.001120364060625434,0.9999794363975525,0.0012151143,2070,0.0003,-0.1272330083651468,0.012841796875,0.2,-0.0007007795633398928,,
187.0,747,572,-10.0,209,428032,0.00014140402068392178,0.012818246148526669,0.9999805092811584,0.00256062,2080,0.0003,-0.15361307363491505,0.034521484375,0.2,0.0005057927337475121,,
,,,,,430000,0.00014296548753804926,7.179274689406157e-05,0.9999797940254211,0.0013730682,2090,0.0003,-0.1197477203560993,0.014306640625,0.2,6.003541930112988e-05,-10.0,187.0
187.0,746,575,-10.0,210,430080,,,,,,,,,,,,
187.0,746,578,-10.0,211,432128,0.00015180284234475038,0.000878351682331413,0.9999803304672241,0.0022741985,2100,0.0003,-0.14039143966510892,0.02099609375,0.2,0.0007489493626053445,,
187.0,746,581,-10.0,212,434176,0.0001341648645677651,0.007737605832517147,0.9999803304672241,0.0023740712,2110,0.0003,-0.13178570738527923,0.0150390625,0.2,0.0003343120188219473,,
187.0,746,583,-10.0,213,436224,0.00013067538283735304,-0.0015879601705819368,0.9999762773513794,0.00079102034,2120,0.0003,-0.1334142140345648,0.02041015625,0.2,0.000316880876198411,,
